index, variant, time sec,  cycles, instructions, L1-misses, LLC-misses, branch-misses, task-clock, page-faults, DTLB-loads, DTLB-load-misses, DTLB-stores, DTLB-store-misses, ITLB_loads, ITLB_load-misses, scale,  IPC, CPUs,  GHz 
PGM,      16,     0.00, 1232.34,       717.51,     16.30,      14.80,          0.90,     502.22,        0.22,     204.56,             2.76,      225.83,              1.59,       0.01,             -nan, 10000, 0.58, 1.02, 2.45 
PGMCacheL (0, 0.000000, 0),    2048,     0.00, 315.72,       170.98,     14.74,      14.50,          0.40,     132.79,        0.00,      56.47,             0.08,       74.73,              0.26,       -nan,             -nan, 10000, 0.54, 1.08, 2.38 
PGMCacheL (0, 0.000000, 0),    4096,     0.00, 317.24,       171.76,     14.74,      14.53,          0.42,     133.49,        0.00,      56.70,             0.08,       74.85,              0.26,       -nan,             -nan, 10000, 0.54, 1.08, 2.38 
PGMCacheL (0, 0.000000, 0),    8192,     0.00, 321.48,       171.15,     14.74,      14.52,          0.40,     135.24,        0.00,      56.50,             0.08,       74.75,              0.26,       -nan,             -nan, 10000, 0.53, 1.08, 2.38 
PGMCacheR (0, 0.000000, 0),      16,     0.00, 318.06,       172.80,     14.76,      14.52,          0.42,     139.27,        0.00,      57.07,             0.09,       75.01,              0.26,       -nan,             -nan, 10000, 0.54, 1.08, 2.28 
PGMCacheR (0, 0.000000, 0),       4,     0.00, 317.33,       170.97,     14.73,      14.49,          0.40,     133.40,        0.00,      56.50,             0.08,       74.75,              0.26,       -nan,             -nan, 10000, 0.54, 1.08, 2.38 
PGMCacheR (0, 0.000000, 0),       8,     0.00, 322.53,       171.59,     14.74,      14.53,          0.41,     135.54,        0.00,      56.69,             0.08,       74.85,              0.26,       -nan,             -nan, 10000, 0.53, 1.08, 2.38 
PGMCacheR (0, 0.000000, 0),      32,     0.00, 316.28,       171.13,     14.73,      14.51,          0.40,     132.97,        0.00,      56.51,             0.08,       74.77,              0.27,       -nan,             -nan, 10000, 0.54, 1.08, 2.38 
PGMCacheR (0, 0.000000, 0),      64,     0.00, 320.59,       171.68,     14.74,      14.53,          0.42,     134.67,        0.00,      56.69,             0.08,       74.83,              0.28,       -nan,             -nan, 10000, 0.54, 1.08, 2.38 
PGMCacheR (0, 0.000000, 0),     256,     0.00, 315.69,       170.96,     14.73,      14.52,          0.40,     132.91,        0.00,      56.48,             0.08,       74.73,              0.26,       -nan,             -nan, 10000, 0.54, 1.08, 2.38 
PGMCacheR (0, 0.000000, 0),    1024,     0.00, 312.45,       170.98,     14.73,      14.51,          0.40,     131.49,        0.00,      56.48,             0.08,       74.74,              0.26,       -nan,             -nan, 10000, 0.55, 1.08, 2.38 
PGMCacheR (0, 0.000000, 0),    2048,     0.00, 316.40,       171.05,     14.73,      14.52,          0.40,     128.01,        0.00,      56.49,             0.08,       74.74,              0.26,       -nan,             -nan, 10000, 0.54, 1.08, 2.47 
PGMCacheR (0, 0.000000, 0),    4096,     0.00, 317.80,       171.77,     14.74,      14.53,          0.41,     139.16,        0.00,      56.70,             0.08,       74.85,              0.26,       -nan,             -nan, 10000, 0.54, 1.08, 2.28 
PGMCacheR (0, 0.000000, 0),    8192,     0.00, 312.59,       171.04,     14.74,      14.51,          0.40,     131.53,        0.00,      56.48,             0.08,       74.74,              0.26,       -nan,             -nan, 10000, 0.55, 1.08, 2.38 
