index, variant, time sec, cycles, instructions, L1-misses, LLC-misses, branch-misses, task-clock, page-faults, DTLB-loads, DTLB-load-misses, DTLB-stores, DTLB-store-misses, ITLB_loads, ITLB_load-misses, scale,  IPC, CPUs,  GHz 
PGM,      16,     0.00, 375.72,       249.82,     14.90,      14.68,          0.55,     156.91,        0.00,      64.93,             0.10,       65.74,              0.27,       -nan,             -nan, 10000, 0.66, 1.07, 2.39 
PGMCacheL (0, 0.000000, 0),    4096,     0.00, 324.34,       172.92,     14.75,      14.54,          0.42,     136.23,        0.00,      56.92,             0.08,       74.87,              0.26,       -nan,             -nan, 10000, 0.53, 1.08, 2.38 
PGMCacheL (0, 0.000000, 0),    8192,     0.00, 327.10,       172.42,     14.73,      14.52,          0.40,     137.46,        0.00,      56.75,             0.08,       74.79,              0.26,       -nan,             -nan, 10000, 0.53, 1.08, 2.38 
PGMCacheR (0, 0.000000, 0),      16,     0.00, 328.08,       173.91,     14.75,      14.54,          0.42,     137.82,        0.00,      57.30,             0.08,       75.04,              0.27,       -nan,             -nan, 10000, 0.53, 1.08, 2.38 
PGMCacheR (0, 0.000000, 0),       4,     0.00, 322.76,       172.14,     14.72,      14.52,          0.41,     135.74,        0.00,      56.74,             0.08,       74.76,              0.26,       -nan,             -nan, 10000, 0.53, 1.08, 2.38 
PGMCacheR (0, 0.000000, 0),       8,     0.00, 322.08,       172.14,     14.73,      14.51,          0.40,     135.31,        0.00,      56.73,             0.08,       74.77,              0.27,       -nan,             -nan, 10000, 0.53, 1.08, 2.38 
PGMCacheR (0, 0.000000, 0),      32,     0.00, 323.52,       172.11,     14.73,      14.51,          0.40,     136.05,        0.00,      56.72,             0.08,       74.78,              0.26,       -nan,             -nan, 10000, 0.53, 1.08, 2.38 
PGMCacheR (0, 0.000000, 0),      64,     0.00, 326.29,       172.79,     14.74,      14.52,          0.42,     136.95,        0.00,      56.93,             0.08,       74.85,              0.26,       -nan,             -nan, 10000, 0.53, 1.08, 2.38 
PGMCacheR (0, 0.000000, 0),     256,     0.00, 325.57,       172.73,     14.74,      14.54,          0.41,     131.62,        0.00,      56.91,             0.08,       74.85,              0.27,       -nan,             -nan, 10000, 0.53, 1.08, 2.47 
PGMCacheR (0, 0.000000, 0),    1024,     0.00, 324.24,       172.12,     14.73,      14.52,          0.40,     136.33,        0.00,      56.71,             0.08,       74.77,              0.27,       -nan,             -nan, 10000, 0.53, 1.08, 2.38 
PGMCacheR (0, 0.000000, 0),    2048,     0.00, 324.18,       172.41,     14.73,      14.51,          0.40,     136.24,        0.00,      56.76,             0.08,       74.79,              0.27,       -nan,             -nan, 10000, 0.53, 1.08, 2.38 
PGMCacheR (0, 0.000000, 0),    4096,     0.00, 323.34,       172.82,     14.74,      14.55,          0.42,     135.76,        0.00,      56.91,             0.08,       74.86,              0.26,       -nan,             -nan, 10000, 0.53, 1.08, 2.38 
PGMCacheR (0, 0.000000, 0),    8192,     0.00, 318.74,       172.18,     14.73,      14.51,          0.40,     133.97,        0.00,      56.70,             0.08,       74.76,              0.27,       -nan,             -nan, 10000, 0.54, 1.08, 2.38 
