index, variant, time sec, cycles, instructions, L1-misses, LLC-misses, branch-misses, task-clock, page-faults, DTLB-loads, DTLB-load-misses, DTLB-stores, DTLB-store-misses, ITLB_loads, ITLB_load-misses,  scale,  IPC, CPUs,  GHz 
PGM,      16,     0.01, 304.40,       238.74,      1.95,       1.51,          0.99,     119.12,        0.02,      73.58,             0.26,       27.11,              0.16,       0.02,             0.11, 100000, 0.78, 1.01, 2.56 
PGMCacheL (0, 0.000000, 0),       8,     0.01, 202.68,       219.24,      1.92,       1.47,          0.36,      86.06,        0.00,      70.35,             0.02,       32.74,              0.03,       0.00,             -nan, 100000, 1.08, 1.01, 2.36 
PGMCacheL (0, 0.000000, 0),      32,     0.01, 203.10,       217.84,      1.96,       1.48,          0.37,      82.71,        0.00,      70.44,             0.03,       32.81,              0.03,       0.00,             -nan, 100000, 1.07, 1.01, 2.46 
PGMCacheL (0, 0.000000, 0),      64,     0.01, 202.85,       218.05,      1.99,       1.48,          0.37,      82.61,        0.00,      70.45,             0.03,       32.81,              0.03,       0.00,             -nan, 100000, 1.07, 1.01, 2.46 
PGMCacheL (0, 0.000000, 0),     256,     0.01, 203.23,       218.67,      2.00,       1.49,          0.37,      82.79,        0.00,      70.28,             0.02,       32.73,              0.03,       0.00,             -nan, 100000, 1.08, 1.01, 2.45 
PGMCacheL (0, 0.000000, 0),    1024,     0.01, 203.95,       218.20,      2.04,       1.50,          0.38,      83.07,        0.00,      70.42,             0.03,       32.82,              0.03,       0.00,             -nan, 100000, 1.07, 1.01, 2.46 
PGMCacheL (0, 0.000000, 0),    2048,     0.01, 202.97,       219.20,      2.05,       1.50,          0.37,      82.69,        0.00,      70.35,             0.03,       32.75,              0.03,       0.00,             -nan, 100000, 1.08, 1.01, 2.45 
PGMCacheL (0, 0.000000, 0),    4096,     0.01, 206.19,       218.91,      2.07,       1.51,          0.37,      80.72,        0.00,      70.45,             0.03,       32.82,              0.03,       0.00,             -nan, 100000, 1.06, 1.01, 2.55 
PGMCacheL (0, 0.000000, 0),    8192,     0.01, 205.96,       219.70,      2.15,       1.52,          0.41,      83.90,        0.00,      70.38,             0.03,       32.81,              0.03,       0.00,             -nan, 100000, 1.07, 1.01, 2.45 
PGMCacheR (0, 0.000000, 0),      16,     0.01, 204.30,       217.74,      1.95,       1.48,          0.37,      83.22,        0.00,      70.48,             0.03,       32.84,              0.03,       0.00,             -nan, 100000, 1.07, 1.01, 2.45 
PGMCacheR (0, 0.000000, 0),       4,     0.01, 201.12,       217.31,      1.92,       1.47,          0.35,      81.90,        0.00,      70.35,             0.02,       32.73,              0.03,       0.00,             -nan, 100000, 1.08, 1.01, 2.46 
PGMCacheR (0, 0.000000, 0),       8,     0.01, 206.64,       217.19,      1.94,       1.48,          0.37,      84.17,        0.00,      70.47,             0.03,       32.82,              0.03,       0.00,             -nan, 100000, 1.05, 1.01, 2.46 
PGMCacheR (0, 0.000000, 0),      32,     0.01, 203.27,       217.83,      1.97,       1.48,          0.37,      82.78,        0.00,      70.46,             0.03,       32.82,              0.03,       0.00,             -nan, 100000, 1.07, 1.01, 2.46 
PGMCacheR (0, 0.000000, 0),      64,     0.01, 204.85,       217.89,      1.98,       1.49,          0.37,      80.19,        0.00,      70.36,             0.02,       32.76,              0.03,       0.00,             -nan, 100000, 1.06, 1.01, 2.55 
PGMCacheR (0, 0.000000, 0),     256,     0.01, 204.28,       219.34,      2.01,       1.49,          0.38,      83.24,        0.00,      70.40,             0.03,       32.82,              0.03,       0.00,             -nan, 100000, 1.07, 1.01, 2.45 
PGMCacheR (0, 0.000000, 0),    1024,     0.01, 232.67,       217.02,      2.04,       1.49,          0.38,      71.65,        0.00,      70.41,             0.03,       32.81,              0.03,       0.00,             -nan, 100000, 0.93, 1.01, 3.25 
PGMCacheR (0, 0.000000, 0),    2048,     0.01, 201.74,       217.96,      2.05,       1.49,          0.36,      82.17,        0.00,      70.33,             0.03,       32.75,              0.03,       0.00,             -nan, 100000, 1.08, 1.01, 2.46 
PGMCacheR (0, 0.000000, 0),    4096,     0.01, 203.76,       218.54,      2.08,       1.51,          0.37,      82.98,        0.00,      70.45,             0.03,       32.81,              0.03,       0.00,             -nan, 100000, 1.07, 1.01, 2.46 
PGMCacheR (0, 0.000000, 0),    8192,     0.01, 216.99,       219.84,      2.15,       1.52,          0.41,      83.25,        0.00,      70.38,             0.03,       32.82,              0.03,       0.00,             -nan, 100000, 1.01, 1.01, 2.61 
