index, variant, time sec, cycles, instructions, L1-misses, LLC-misses, branch-misses, task-clock, page-faults, DTLB-loads, DTLB-load-misses, DTLB-stores, DTLB-store-misses, ITLB_loads, ITLB_load-misses, scale,  IPC, CPUs,  GHz 
PGM,      16,     0.00, 392.02,       251.28,     14.96,      14.67,          1.01,     163.43,        0.00,      65.37,             0.11,       65.97,              0.27,       -nan,             -nan, 10000, 0.64, 1.06, 2.40 
PGMCacheL (0, 0.000000, 0),     256,     0.00, 382.29,       196.74,     14.82,      14.54,          0.72,     159.47,        0.00,      62.04,             0.09,       75.51,              0.26,       -nan,             -nan, 10000, 0.51, 1.07, 2.40 
PGMCacheL (0, 0.000000, 0),    1024,     0.00, 373.71,       195.99,     14.82,      14.53,          0.71,     162.50,        0.00,      61.77,             0.09,       75.40,              0.26,       -nan,             -nan, 10000, 0.52, 1.07, 2.30 
PGMCacheL (0, 0.000000, 0),    2048,     0.00, 382.97,       196.48,     14.82,      14.52,          0.71,     159.77,        0.00,      61.86,             0.09,       75.40,              0.27,       -nan,             -nan, 10000, 0.51, 1.07, 2.40 
PGMCacheL (0, 0.000000, 0),    4096,     0.00, 380.43,       196.97,     14.83,      14.54,          0.72,     165.44,        0.00,      62.00,             0.10,       75.50,              0.26,       -nan,             -nan, 10000, 0.52, 1.07, 2.30 
PGMCacheL (0, 0.000000, 0),    8192,     0.00, 390.46,       196.53,     14.84,      14.54,          0.71,     150.75,        0.00,      61.82,             0.09,       75.39,              0.27,       -nan,             -nan, 10000, 0.50, 1.07, 2.59 
PGMCacheR (0, 0.000000, 0),      16,     0.00, 385.06,       197.03,     14.81,      14.54,          0.72,     160.52,        0.00,      62.21,             0.09,       75.59,              0.27,       -nan,             -nan, 10000, 0.51, 1.07, 2.40 
PGMCacheR (0, 0.000000, 0),       4,     0.00, 396.10,       196.17,     14.79,      14.53,          0.69,     121.46,        0.00,      61.98,             0.10,       75.41,              0.27,       -nan,             -nan, 10000, 0.50, 1.07, 3.26 
PGMCacheR (0, 0.000000, 0),       8,     0.00, 380.97,       195.85,     14.79,      14.51,          0.69,     158.97,        0.00,      61.87,             0.09,       75.38,              0.27,       -nan,             -nan, 10000, 0.51, 1.07, 2.40 
PGMCacheR (0, 0.000000, 0),      32,     0.00, 378.16,       195.72,     14.80,      14.51,          0.70,     157.75,        0.00,      61.80,             0.09,       75.39,              0.27,       -nan,             -nan, 10000, 0.52, 1.07, 2.40 
PGMCacheR (0, 0.000000, 0),      64,     0.00, 385.62,       196.81,     14.82,      14.55,          0.72,     160.87,        0.00,      62.08,             0.09,       75.48,              0.27,       -nan,             -nan, 10000, 0.51, 1.07, 2.40 
PGMCacheR (0, 0.000000, 0),     256,     0.00, 378.00,       196.72,     14.83,      14.52,          0.71,     157.82,        0.00,      62.04,             0.10,       75.51,              0.26,       -nan,             -nan, 10000, 0.52, 1.07, 2.40 
PGMCacheR (0, 0.000000, 0),    1024,     0.00, 379.63,       196.09,     14.83,      14.52,          0.71,     158.42,        0.00,      61.79,             0.09,       75.41,              0.26,       -nan,             -nan, 10000, 0.52, 1.07, 2.40 
PGMCacheR (0, 0.000000, 0),    2048,     0.00, 377.49,       196.46,     14.82,      14.51,          0.70,     164.03,        0.00,      61.86,             0.09,       75.39,              0.26,       -nan,             -nan, 10000, 0.52, 1.07, 2.30 
PGMCacheR (0, 0.000000, 0),    4096,     0.00, 378.52,       196.44,     14.82,      14.54,          0.71,     157.91,        0.00,      61.82,             0.09,       75.42,              0.26,       -nan,             -nan, 10000, 0.52, 1.07, 2.40 
PGMCacheR (0, 0.000000, 0),    8192,     0.00, 377.51,       196.53,     14.84,      14.53,          0.71,     157.57,        0.00,      61.81,             0.10,       75.39,              0.26,       -nan,             -nan, 10000, 0.52, 1.07, 2.40 
