index, variant, time sec, cycles, instructions, L1-misses, LLC-misses, branch-misses, task-clock, page-faults, DTLB-loads, DTLB-load-misses, DTLB-stores, DTLB-store-misses, ITLB_loads, ITLB_load-misses,  scale,  IPC, CPUs,  GHz 
PGM,      16,     0.01, 203.89,       233.51,      1.73,       1.48,          0.24,      83.00,        0.00,      60.45,             0.02,       11.13,              0.03,       0.00,             -nan, 100000, 1.15, 1.01, 2.46 
PGMCacheL (0, 0.000000, 0),       4,     0.01, 222.61,       183.62,      1.71,       1.46,          0.07,      87.15,        0.00,      58.89,             0.01,       21.00,              0.03,       0.00,             -nan, 100000, 0.82, 1.01, 2.55 
PGMCacheL (0, 0.000000, 0),       8,     0.01, 222.85,       183.62,      1.71,       1.47,          0.07,      87.22,        0.00,      58.89,             0.01,       21.00,              0.03,       0.00,             -nan, 100000, 0.82, 1.01, 2.55 
PGMCacheL (0, 0.000000, 0),      32,     0.01, 220.36,       181.81,      1.71,       1.46,          0.07,      89.76,        0.00,      58.88,             0.01,       21.00,              0.03,       0.00,             -nan, 100000, 0.83, 1.01, 2.45 
PGMCacheL (0, 0.000000, 0),      64,     0.01, 232.96,       185.96,      1.71,       1.47,          0.07,      71.37,        0.00,      58.89,             0.01,       21.00,              0.03,       0.00,             -nan, 100000, 0.80, 1.01, 3.26 
PGMCacheL (0, 0.000000, 0),     256,     0.01, 221.28,       181.91,      1.71,       1.46,          0.07,      90.13,        0.00,      58.91,             0.01,       21.01,              0.03,       0.00,             -nan, 100000, 0.82, 1.01, 2.46 
PGMCacheL (0, 0.000000, 0),    1024,     0.01, 223.84,       183.68,      1.72,       1.47,          0.07,      95.06,        0.00,      58.90,             0.01,       21.01,              0.03,       0.00,             -nan, 100000, 0.82, 1.01, 2.35 
PGMCacheL (0, 0.000000, 0),    2048,     0.01, 223.97,       183.98,      1.71,       1.46,          0.07,      91.26,        0.00,      58.89,             0.01,       21.00,              0.03,       0.00,             -nan, 100000, 0.82, 1.01, 2.45 
PGMCacheL (0, 0.000000, 0),    4096,     0.01, 219.60,       180.23,      1.71,       1.47,          0.07,     101.01,        0.00,      58.89,             0.01,       21.01,              0.03,       0.00,             -nan, 100000, 0.82, 1.01, 2.17 
PGMCacheL (0, 0.000000, 0),    8192,     0.01, 222.25,       181.39,      1.71,       1.46,          0.07,      90.52,        0.00,      58.89,             0.01,       21.00,              0.03,       0.00,             -nan, 100000, 0.82, 1.01, 2.46 
PGMCacheR (0, 0.000000, 0),      16,     0.01, 217.84,       179.57,      1.71,       1.46,          0.07,      92.44,        0.00,      58.92,             0.01,       21.02,              0.03,       0.00,             -nan, 100000, 0.82, 1.01, 2.36 
PGMCacheR (0, 0.000000, 0),       4,     0.01, 220.07,       181.86,      1.71,       1.46,          0.07,      89.64,        0.00,      58.89,             0.01,       21.00,              0.03,       0.00,             -nan, 100000, 0.83, 1.01, 2.45 
PGMCacheR (0, 0.000000, 0),       8,     0.01, 229.70,       184.81,      1.71,       1.46,          0.07,      93.55,        0.00,      58.89,             0.01,       21.00,              0.03,       0.00,             -nan, 100000, 0.80, 1.01, 2.46 
PGMCacheR (0, 0.000000, 0),      32,     0.01, 223.06,       184.26,      1.71,       1.46,          0.06,      90.87,        0.00,      58.88,             0.01,       21.00,              0.03,       0.00,             -nan, 100000, 0.83, 1.01, 2.45 
PGMCacheR (0, 0.000000, 0),      64,     0.01, 221.82,       181.50,      1.71,       1.47,          0.07,      90.36,        0.00,      58.91,             0.01,       21.01,              0.03,       0.00,             -nan, 100000, 0.82, 1.01, 2.45 
PGMCacheR (0, 0.000000, 0),     256,     0.01, 224.06,       184.32,      1.71,       1.46,          0.06,      91.30,        0.00,      58.89,             0.01,       21.00,              0.03,       0.00,             -nan, 100000, 0.82, 1.01, 2.45 
PGMCacheR (0, 0.000000, 0),    1024,     0.01, 224.67,       184.28,      1.71,       1.46,          0.07,      91.56,        0.00,      58.88,             0.01,       21.00,              0.03,       0.00,             -nan, 100000, 0.82, 1.01, 2.45 
PGMCacheR (0, 0.000000, 0),    2048,     0.01, 224.18,       184.11,      1.71,       1.46,          0.06,      91.34,        0.00,      58.89,             0.01,       21.00,              0.03,       0.00,             -nan, 100000, 0.82, 1.01, 2.45 
PGMCacheR (0, 0.000000, 0),    4096,     0.01, 221.35,       181.52,      1.71,       1.47,          0.07,      90.16,        0.00,      58.91,             0.01,       21.01,              0.03,       0.00,             -nan, 100000, 0.82, 1.01, 2.46 
PGMCacheR (0, 0.000000, 0),    8192,     0.01, 223.69,       184.44,      1.71,       1.46,          0.07,      91.12,        0.00,      58.89,             0.01,       21.00,              0.03,       0.00,             -nan, 100000, 0.82, 1.01, 2.45 
