index, variant, time sec,  cycles, instructions, L1-misses, LLC-misses, branch-misses, task-clock, page-faults, DTLB-loads, DTLB-load-misses, DTLB-stores, DTLB-store-misses, ITLB_loads, ITLB_load-misses, scale,  IPC, CPUs,  GHz 
PGM,      16,     0.00, 1242.31,       717.12,     16.36,      14.91,          1.33,     506.13,        0.22,     203.76,             2.61,      225.66,              1.60,       0.04,             -nan, 10000, 0.58, 1.02, 2.45 
PGMCacheR (0, 0.000000, 0),      16,     0.00, 367.14,       230.48,     14.80,      14.52,          0.58,     153.45,        0.00,      74.41,             0.09,       86.57,              0.27,       -nan,             -nan, 10000, 0.63, 1.07, 2.39 
PGMCacheR (0, 0.000000, 0),       4,     0.00, 360.96,       228.94,     14.77,      14.51,          0.57,     150.95,        0.00,      73.99,             0.09,       86.36,              0.27,       -nan,             -nan, 10000, 0.63, 1.07, 2.39 
PGMCacheR (0, 0.000000, 0),       8,     0.00, 367.17,       229.67,     14.79,      14.52,          0.58,     153.33,        0.00,      74.20,             0.09,       86.48,              0.27,       -nan,             -nan, 10000, 0.63, 1.07, 2.39 
PGMCacheR (0, 0.000000, 0),      32,     0.00, 353.19,       229.58,     14.78,      14.51,          0.56,     230.92,        0.00,      74.06,             0.09,       86.41,              0.26,       -nan,             -nan, 10000, 0.65, 1.07, 1.53 
PGMCacheR (0, 0.000000, 0),      64,     0.00, 365.64,       229.42,     14.78,      14.52,          0.57,     152.84,        0.00,      74.03,             0.09,       86.38,              0.26,       -nan,             -nan, 10000, 0.63, 1.07, 2.39 
PGMCacheR (0, 0.000000, 0),     256,     0.00, 364.87,       229.37,     14.81,      14.51,          0.62,     152.50,        0.00,      73.97,             0.09,       86.38,              0.27,       -nan,             -nan, 10000, 0.63, 1.07, 2.39 
PGMCacheR (0, 0.000000, 0),    1024,     0.00, 365.91,       229.77,     14.82,      14.50,          0.60,     152.97,        0.00,      74.01,             0.09,       86.39,              0.26,       -nan,             -nan, 10000, 0.63, 1.07, 2.39 
PGMCacheR (0, 0.000000, 0),    2048,     0.00, 364.60,       230.69,     14.83,      14.50,          0.60,     152.55,        0.00,      74.26,             0.09,       86.51,              0.27,       -nan,             -nan, 10000, 0.63, 1.07, 2.39 
PGMCacheR (0, 0.000000, 0),    4096,     0.00, 394.85,       230.13,     14.84,      14.52,          0.58,     128.68,        0.00,      74.05,             0.09,       86.39,              0.28,       -nan,             -nan, 10000, 0.58, 1.07, 3.07 
PGMCacheR (0, 0.000000, 0),    8192,     0.00, 365.15,       229.77,     14.85,      14.53,          0.60,     152.63,        0.00,      73.96,             0.09,       86.38,              0.27,       -nan,             -nan, 10000, 0.63, 1.07, 2.39 
