index, variant, time sec, cycles, instructions, L1-misses, LLC-misses, branch-misses, task-clock, page-faults, DTLB-loads, DTLB-load-misses, DTLB-stores, DTLB-store-misses, ITLB_loads, ITLB_load-misses,  scale,  IPC, CPUs,  GHz 
PGM,      16,     0.01, 290.46,       229.75,      1.90,       1.50,          0.70,     118.30,        0.02,      74.37,             0.31,       27.08,              0.16,       0.01,             0.12, 100000, 0.79, 1.01, 2.46 
PGMCacheL (0, 0.000000, 0),    2048,     0.01, 178.90,       164.63,      1.80,       1.47,          0.29,      75.97,        0.00,      54.31,             0.02,       21.26,              0.03,       0.00,             -nan, 100000, 0.92, 1.01, 2.35 
PGMCacheL (0, 0.000000, 0),    4096,     0.01, 178.92,       164.57,      1.81,       1.47,          0.29,      72.92,        0.00,      54.29,             0.02,       21.26,              0.03,       0.00,             -nan, 100000, 0.92, 1.01, 2.45 
PGMCacheL (0, 0.000000, 0),    8192,     0.01, 177.84,       164.67,      1.81,       1.47,          0.29,      72.48,        0.00,      54.31,             0.02,       21.26,              0.03,       0.00,             -nan, 100000, 0.93, 1.01, 2.45 
PGMCacheR (0, 0.000000, 0),      16,     0.01, 179.09,       164.42,      1.77,       1.46,          0.27,      72.97,        0.00,      54.31,             0.02,       21.27,              0.03,       0.00,             -nan, 100000, 0.92, 1.01, 2.45 
PGMCacheR (0, 0.000000, 0),       4,     0.01, 178.06,       164.55,      1.78,       1.46,          0.28,      72.57,        0.00,      54.36,             0.02,       21.27,              0.03,       0.00,             -nan, 100000, 0.92, 1.01, 2.45 
PGMCacheR (0, 0.000000, 0),       8,     0.01, 175.92,       164.24,      1.76,       1.46,          0.27,      71.69,        0.00,      54.27,             0.02,       21.24,              0.03,       0.00,             -nan, 100000, 0.93, 1.01, 2.45 
PGMCacheR (0, 0.000000, 0),      32,     0.01, 177.53,       164.47,      1.77,       1.46,          0.27,      72.35,        0.00,      54.32,             0.02,       21.26,              0.03,       0.00,             -nan, 100000, 0.93, 1.01, 2.45 
PGMCacheR (0, 0.000000, 0),      64,     0.01, 178.05,       164.37,      1.77,       1.46,          0.27,      72.59,        0.00,      54.28,             0.01,       21.24,              0.03,       0.00,             -nan, 100000, 0.92, 1.01, 2.45 
PGMCacheR (0, 0.000000, 0),     256,     0.01, 178.91,       164.54,      1.78,       1.47,          0.28,      67.42,        0.00,      54.32,             0.02,       21.27,              0.03,       0.00,             -nan, 100000, 0.92, 1.01, 2.65 
PGMCacheR (0, 0.000000, 0),    1024,     0.01, 176.72,       164.40,      1.79,       1.47,          0.28,      75.06,        0.00,      54.26,             0.02,       21.25,              0.03,       0.00,             -nan, 100000, 0.93, 1.01, 2.35 
PGMCacheR (0, 0.000000, 0),    2048,     0.01, 179.20,       164.62,      1.80,       1.46,          0.29,      73.04,        0.00,      54.31,             0.02,       21.26,              0.03,       0.00,             -nan, 100000, 0.92, 1.01, 2.45 
PGMCacheR (0, 0.000000, 0),    4096,     0.01, 179.29,       164.61,      1.81,       1.48,          0.29,      73.07,        0.00,      54.31,             0.02,       21.26,              0.03,       0.00,             -nan, 100000, 0.92, 1.01, 2.45 
PGMCacheR (0, 0.000000, 0),    8192,     0.01, 178.05,       164.68,      1.81,       1.47,          0.29,      72.56,        0.00,      54.32,             0.02,       21.26,              0.03,       0.00,             -nan, 100000, 0.92, 1.01, 2.45 
