index, variant, time sec, cycles, instructions, L1-misses, LLC-misses, branch-misses, task-clock, page-faults, DTLB-loads, DTLB-load-misses, DTLB-stores, DTLB-store-misses, ITLB_loads, ITLB_load-misses, scale,  IPC, CPUs,  GHz 
PGM,      16,     0.00, 455.03,       304.08,     14.91,      14.67,          0.57,     188.66,        0.00,      77.30,             0.10,       65.86,              0.28,       -nan,             -nan, 10000, 0.67, 1.06, 2.41 
PGMCacheL (0, 0.000000, 0),       8,     0.00, 349.03,       183.11,     14.73,      14.51,          0.33,     146.23,        0.00,      59.11,             0.08,       74.69,              0.27,       -nan,             -nan, 10000, 0.52, 1.07, 2.39 
PGMCacheL (0, 0.000000, 0),      32,     0.00, 341.79,       183.19,     14.74,      14.49,          0.34,     143.12,        0.00,      59.11,             0.08,       74.70,              0.27,       -nan,             -nan, 10000, 0.54, 1.07, 2.39 
PGMCacheL (0, 0.000000, 0),      64,     0.00, 341.09,       183.13,     14.73,      14.48,          0.33,     142.90,        0.00,      59.09,             0.08,       74.68,              0.26,       -nan,             -nan, 10000, 0.54, 1.07, 2.39 
PGMCacheL (0, 0.000000, 0),     256,     0.00, 355.92,       184.05,     14.76,      14.52,          0.35,     143.17,        0.00,      59.34,             0.08,       74.82,              0.27,       -nan,             -nan, 10000, 0.52, 1.07, 2.49 
PGMCacheL (0, 0.000000, 0),    1024,     0.00, 344.44,       183.26,     14.74,      14.52,          0.33,     144.29,        0.00,      59.11,             0.08,       74.70,              0.26,       -nan,             -nan, 10000, 0.53, 1.07, 2.39 
PGMCacheL (0, 0.000000, 0),    2048,     0.00, 349.62,       183.20,     14.74,      14.51,          0.33,     146.41,        0.00,      59.10,             0.08,       74.70,              0.27,       -nan,             -nan, 10000, 0.52, 1.07, 2.39 
PGMCacheL (0, 0.000000, 0),    4096,     0.00, 339.32,       184.53,     14.76,      14.47,          0.34,     124.48,        0.00,      59.39,             0.08,       74.89,              0.26,       -nan,             -nan, 10000, 0.54, 1.07, 2.73 
PGMCacheL (0, 0.000000, 0),    8192,     0.00, 353.14,       183.86,     14.79,      14.55,          0.35,     147.68,        0.00,      59.26,             0.08,       74.83,              0.27,       -nan,             -nan, 10000, 0.52, 1.07, 2.39 
PGMCacheR (0, 0.000000, 0),      16,     0.00, 347.68,       184.98,     14.76,      14.52,          0.36,     145.60,        0.00,      59.58,             0.09,       74.97,              0.28,       -nan,             -nan, 10000, 0.53, 1.07, 2.39 
PGMCacheR (0, 0.000000, 0),       4,     0.00, 342.28,       183.16,     14.74,      14.48,          0.33,     143.29,        0.00,      59.13,             0.08,       74.71,              0.27,       -nan,             -nan, 10000, 0.54, 1.07, 2.39 
PGMCacheR (0, 0.000000, 0),       8,     0.00, 347.69,       183.18,     14.74,      14.50,          0.34,     145.66,        0.00,      59.13,             0.08,       74.71,              0.27,       -nan,             -nan, 10000, 0.53, 1.07, 2.39 
PGMCacheR (0, 0.000000, 0),      32,     0.00, 343.62,       183.23,     14.74,      14.50,          0.33,     143.90,        0.00,      59.12,             0.08,       74.71,              0.27,       -nan,             -nan, 10000, 0.53, 1.07, 2.39 
PGMCacheR (0, 0.000000, 0),      64,     0.00, 343.38,       183.81,     14.75,      14.53,          0.34,     143.93,        0.00,      59.31,             0.08,       74.80,              0.26,       -nan,             -nan, 10000, 0.54, 1.07, 2.39 
PGMCacheR (0, 0.000000, 0),     256,     0.00, 341.38,       183.87,     14.75,      14.53,          0.35,     143.04,        0.00,      59.31,             0.08,       74.79,              0.27,       -nan,             -nan, 10000, 0.54, 1.07, 2.39 
PGMCacheR (0, 0.000000, 0),    1024,     0.00, 343.65,       183.22,     14.74,      14.51,          0.33,     144.04,        0.00,      59.11,             0.08,       74.69,              0.26,       -nan,             -nan, 10000, 0.53, 1.07, 2.39 
PGMCacheR (0, 0.000000, 0),    2048,     0.00, 343.10,       183.23,     14.74,      14.51,          0.33,     143.80,        0.00,      59.10,             0.08,       74.69,              0.27,       -nan,             -nan, 10000, 0.53, 1.08, 2.39 
PGMCacheR (0, 0.000000, 0),    4096,     0.00, 340.95,       183.23,     14.75,      14.46,          0.33,     148.85,        0.00,      59.10,             0.08,       74.69,              0.26,       -nan,             -nan, 10000, 0.54, 1.08, 2.29 
PGMCacheR (0, 0.000000, 0),    8192,     0.00, 352.76,       183.29,     14.75,      14.51,          0.34,     136.81,        0.00,      59.11,             0.08,       74.70,              0.27,       -nan,             -nan, 10000, 0.52, 1.07, 2.58 
